name,best_band,AUC
abu-airport-1,9,0.9739689021915585
abu-airport-2,144,0.9738831280415476
abu-airport-3,4,0.9693324756148644
abu-airport-4,136,0.9976768947015425
abu-beach-1,9,0.9995739091958356
abu-beach-2,7,0.9669039852546187
abu-beach-3,41,0.9996223118157247
abu-beach-4,49,0.9990687541956869
abu-urban-1,39,0.9954117963489709
abu-urban-2,64,0.9871220039646783
abu-urban-3,7,0.9936390383842132
abu-urban-4,86,0.9814604295665635
abu-urban-5,3,0.9776705339744134
