name,AUC
abu-airport-1,0.8836
abu-airport-2,0.8177
abu-airport-3,0.955
abu-airport-4,0.9418
abu-beach-1,0.9996
abu-beach-2,0.9914
abu-beach-3,0.9998
abu-beach-4,0.9238
abu-urban-1,0.9951
abu-urban-2,0.7858
abu-urban-3,0.9977
abu-urban-4,0.8626
abu-urban-5,0.9909
