name,AUC
abu-airport-1,0.8246
abu-airport-2,0.8585
abu-airport-3,0.9774
abu-airport-4,0.9967
abu-beach-1,0.9985
abu-beach-2,0.9814
abu-beach-3,0.9998
abu-beach-4,0.9942
abu-urban-1,0.996
abu-urban-2,0.9671
abu-urban-3,0.9979
abu-urban-4,0.9864
abu-urban-5,0.9887
airport-avg,0.9143
beach-avg,0.9934750000000001
urban-avg,0.98722
scene-avg,0.9649983333333333
