name,AUC
abu-airport-1,0.8428
abu-airport-2,0.8233
abu-airport-3,0.9558
abu-airport-4,0.9781
abu-beach-1,0.9994
abu-beach-2,0.9894
abu-beach-3,0.9997
abu-beach-4,0.9881
abu-urban-1,0.9943
abu-urban-2,0.976
abu-urban-3,0.9981
abu-urban-4,0.9872
abu-urban-5,0.9917
airport-avg,0.9
beach-avg,0.9941500000000001
urban-avg,0.98946
scene-avg,0.9612033333333333
