name,AUC
abu-airport-1,0.9742
abu-airport-2,0.9787
abu-airport-3,0.9657
abu-airport-4,0.9935
abu-beach-1,0.9995
abu-beach-2,0.9577
abu-beach-3,0.999
abu-beach-4,0.9979
abu-urban-1,0.9867
abu-urban-2,0.9027
abu-urban-3,0.9908
abu-urban-4,0.9577
abu-urban-5,0.9656
airport-avg,0.978025
beach-avg,0.988525
urban-avg,0.9606999999999999
scene-avg,0.97575
