name,AUC
abu-airport-1,0.9839
abu-airport-2,0.9744
abu-airport-3,0.9607
abu-airport-4,0.9917
abu-beach-1,0.9976
abu-beach-2,0.9587
abu-beach-3,0.9993
abu-beach-4,0.9988
abu-urban-1,0.9282
abu-urban-2,0.7516
abu-urban-3,0.987
abu-urban-4,0.6627
abu-urban-5,0.9577
