name,AUC
abu-airport-1,0.8397
abu-airport-2,0.8702
abu-airport-3,0.98
abu-airport-4,0.9946
abu-beach-1,0.9989
abu-beach-2,0.9659
abu-beach-3,0.9999
abu-beach-4,0.9728
abu-urban-1,0.9975
abu-urban-2,0.9576
abu-urban-3,0.9984
abu-urban-4,0.9045
abu-urban-5,0.9892
