name,AUC
abu-airport-1,0.9519
abu-airport-2,0.9674
abu-airport-3,0.9198
abu-airport-4,0.9821
abu-beach-1,0.9981
abu-beach-2,0.915
abu-beach-3,0.9934
abu-beach-4,0.9922
abu-urban-1,0.9582
abu-urban-2,0.8184
abu-urban-3,0.9707
abu-urban-4,0.883
abu-urban-5,0.9116
airport-avg,0.9553
beach-avg,0.974675
urban-avg,0.90838
scene-avg,0.9461183333333333
