name,AUC
abu-airport-1,0.8023
abu-airport-2,0.748
abu-airport-3,0.9356
abu-airport-4,0.9525
abu-beach-1,0.9454
abu-beach-2,0.9877
abu-beach-3,0.9998
abu-beach-4,0.898
abu-urban-1,0.9058
abu-urban-2,0.768
abu-urban-3,0.9974
abu-urban-4,0.5779
abu-urban-5,0.9731
